Pop1,Pop2,gen_dist,geo_dist,color
CRHS,CT1,0.400170544,40.22146371,orange
CRHS,CT2,0.417775279,39.34976317,orange
CRHS,DN,0.554867777,149.979742,brown
CRHS,EPHS,0.33364962,10.02580958,orange
CRHS,FS,0.358660986,20.1730208,orange
CRHS,GSN,0.469871654,71.00207344,orange
CRHS,HIB,0.726959059,82.6109143,orange
CRHS,JGSS,0.513822037,71.22093795,red
CRHS,LOB,0.608038448,129.9756661,red
CRHS,LW,0.606045017,73.61476816,red
CRHS,MC,0.373948634,9.016499314,orange
CRHS,MD,0.756207604,157.4691463,brown
CRHS,PG,0.535896443,71.68925074,orange
CRHS,PT,0.44015124,25.52451099,red
CRHS,RL,0.629782817,30.53430085,orange
CRHS,S100,0.726993419,90.52471833,red
CRHS,S110,0.643281129,60.22261117,red
CRHS,S8CR,0.528828854,73.46333024,red
CRHS,S90,0.634965071,88.45446169,red
CRHS,SOC,0.7186143,69.55210176,orange
CRHS,SPC,0.462614454,63.07316826,red
CRHS,T1L,0.462314749,10.30826684,red
CRHS,VFTG,0.597373539,152.4610857,brown
CRHS,VL1,0.250949858,26.70739647,orange
CRHS,VL2,0.431730088,31.02326934,orange
CRPR,CT1,0.240775372,32.09159064,orange
CRPR,CT2,0.294107415,33.1683994,orange
CRPR,DN,0.429122685,207.9132357,brown
CRPR,EPHS,0.26756643,70.44682406,orange
CRPR,FS,0.263726847,53.53271486,orange
CRPR,GSN,0.332146607,140.0517109,orange
CRPR,HIB,0.705766672,10.64479133,orange
CRPR,JGSS,0.359473259,139.9808813,red
CRPR,LOB,0.486193642,199.0599558,red
CRPR,LW,0.435657289,145.5363514,red
CRPR,MC,0.268569837,77.78939785,orange
CRPR,MD,0.580479371,215.4466366,brown
CRPR,PG,0.2478157,1.619028654,orange
CRPR,PT,0.290324389,89.31017191,red
CRPR,RL,0.456163487,57.93328547,orange
CRPR,S100,0.567824757,160.1115862,red
CRPR,S110,0.483590387,127.1355103,red
CRPR,S8CR,0.371545074,138.4937899,red
CRPR,S90,0.461664708,157.1595079,red
CRPR,SOC,0.429279093,15.44278938,orange
CRPR,SPC,0.328122083,124.0080421,red
CRPR,T1L,0.379726268,75.23212252,red
CRPR,VFTG,0.490057738,209.3095043,brown
CRPR,VL1,0.194099318,46.00354078,orange
CRPR,VL2,0.296291727,41.64813734,orange
CT1,CT2,0.20496699,1.393563545,orange
CT1,DN,0.422589325,182.8508207,brown
CT1,EPHS,0.294940859,38.39991027,orange
CT1,FS,0.335489395,21.47665196,orange
CT1,GSN,0.325673052,108.1790953,orange
CT1,HIB,0.881300203,42.73584554,orange
CT1,JGSS,0.367768632,108.1522445,red
