,BIL,BRC,BSL1,BSL3,BSLO,CI,CIR,CRHS,CRPR,CT1,CT2,DN,EPHS,FS,GSN,HIB,JGSS,LOB,LW,MC,MD,PG,PT,RL,S100,S110,S8CR,S90,SOC,SPC,T1L,VFTG,VL1,VL2
MD,0.435198424,0.507541971,0.437966476,0.501915746,0.396440156,-0.010006259,0.144851368,0.756207604,0.580479371,0.586237719,0.611209778,0.191049751,0.563547399,0.805954757,0.452195725,1.458745259,0.536845576,0.597196592,0.631128231,0.580434138,NA,0.77896599,0.650585036,0.814142336,0.740127826,0.690547455,0.496720361,0.647963372,1.122207979,0.476930358,0.576926041,0.185659796,0.547341611,0.737692921
PG,0.517634333,0.578337775,0.49457959,0.56251423,0.457433051,0.737633762,1.205140376,0.535896443,0.2478157,0.3039161,0.486404835,0.640440492,0.449645062,0.452069666,0.528451371,0.854486784,0.589337851,0.644716684,0.664415549,0.493350633,0.77896599,NA,0.516418582,0.617833601,0.762975127,0.700049291,0.552722713,0.667338179,0.479128123,0.50682695,0.564952508,0.671661928,0.328495868,0.458513225
PT,0.234530995,0.306878321,0.260609699,0.312467234,0.284978052,0.528222904,1.888826584,0.44015124,0.290324389,0.305731835,0.318980141,0.316047944,0.276903832,0.403052728,0.227150839,1.066140184,0.250798624,0.430133793,0.343177573,0.236868319,0.650585036,0.516418582,NA,0.472596794,0.477323128,0.396176658,0.338814674,0.405688672,0.803395598,0.312402465,0.333326506,0.393284056,0.260985117,0.372735588
RL,0.414799475,0.470437112,0.407698139,0.475927903,0.402501824,0.703793412,1.746618753,0.629782817,0.456163487,0.46125528,0.470442641,0.543383455,0.493159334,0.57558322,0.42479201,1.200012589,0.496928568,0.58677604,0.542574262,0.473210092,0.814142336,0.617833601,0.472596794,NA,0.717393628,0.622354691,0.495805963,0.617538552,0.809883914,0.44387326,0.558212802,0.573400719,0.375330141,0.435292238
S100,0.372056696,0.491823602,0.472385073,0.511119756,0.439315794,0.667570964,1.415699319,0.726993419,0.567824757,0.559880665,0.547019198,0.50496074,0.519022674,0.722522219,0.387573518,1.264274137,0.433122234,0.529707599,0.492353231,0.472770162,0.740127826,0.762975127,0.477323128,0.717393628,NA,0.566582966,0.503853887,0.540596653,0.881152681,0.489813472,0.458861734,0.522868044,0.538777826,0.658560645
S110,0.29121185,0.423435147,0.389539346,0.452926142,0.400652601,0.617941099,1.428426992,0.643281129,0.483590387,0.501343515,0.487559019,0.436194498,0.463780879,0.627452173,0.299778173,1.219911885,0.319045378,0.495770803,0.414000827,0.419615049,0.690547455,0.700049291,0.396176658,0.622354691,0.566582966,NA,0.456912109,0.460624737,0.751266103,0.435195557,0.474433341,0.466212768,0.480255335,0.560692272
S8CR,0.309813287,0.360445371,0.225005327,0.134121,0.13322195,0.489635095,1.047187877,0.528828854,0.371545074,0.307492582,0.329146127,0.387028462,0.357912932,0.493771738,0.291411548,1.020238023,0.329640088,0.392308116,0.385013428,0.328084951,0.496720361,0.552722713,0.338814674,0.495805963,0.503853887,0.456912109,NA,0.351840715,0.584007611,0.230195079,0.385155329,0.439760442,0.369017503,0.422544678
S90,0.290105991,0.399223829,0.349195489,0.377103842,0.326925452,0.581650523,1.408763319,0.634965071,0.461664708,0.457047276,0.460103082,0.427950594,0.434605354,0.612850562,0.294879651,1.23180919,0.322290297,0.45327847,0.417009744,0.39959395,0.647963372,0.667338179,0.405688672,0.617538552,0.540596653,0.460624737,0.351840715,NA,0.751493628,0.394548271,0.457426162,0.461353355,0.452807158,0.555933224
SOC,0.469551581,0.574568,0.503568934,0.557984087,0.460130451,0.816587959,3.138590409,0.7186143,0.429279093,0.399627535,0.580453975,0.613341885,0.583842696,0.683134731,0.493094139,1.304693,0.598664879,0.671169291,0.742835408,0.585327927,1.122207979,0.479128123,0.803395598,0.809883914,0.881152681,0.751266103,0.584007611,0.751493628,NA,0.515286957,0.656065825,0.640663323,0.399648528,0.573742384
SPC,0.304273071,0.339506788,0.188862002,0.2252578,0.190274097,0.470914348,0.983609719,0.462614454,0.328122083,0.28025269,0.312090845,0.369435572,0.324932672,0.424163125,0.287112266,0.90430868,0.320509686,0.38766541,0.365613866,0.303368635,0.476930358,0.50682695,0.312402465,0.44387326,0.489813472,0.435195557,0.230195079,0.394548271,0.515286957,NA,0.371757263,0.428998994,0.319397445,0.366278002
T1L,0.312106111,0.398143229,0.349525849,0.39791248,0.328553935,0.526129832,1.150537896,0.462314749,0.379726268,0.401766971,0.408136835,0.392487831,0.213209571,0.497599608,0.321363925,0.972983563,0.336082804,0.462359722,0.424301069,0.229916198,0.576926041,0.564952508,0.333326506,0.558212802,0.458861734,0.474433341,0.385155329,0.457426162,0.656065825,0.371757263,NA,0.443613454,0.363359247,0.477772047
VFTG,0.356979351,0.395439091,0.388168841,0.438847695,0.404761293,0.137929283,0.562820199,0.597373539,0.490057738,0.484499551,0.485489544,0.006012192,0.440171443,0.60646668,0.349192767,1.064039634,0.357983544,0.504476446,0.419149897,0.42463,0.185659796,0.671661928,0.393284056,0.573400719,0.522868044,0.466212768,0.439760442,0.461353355,0.640663323,0.428998994,0.443613454,NA,0.523589202,0.563180292
VL1,0.383922984,0.387522771,0.300902521,0.367406062,0.316879761,0.547690038,0.854349232,0.250949858,0.194099318,0.233296085,0.253284395,0.461572494,0.228738829,0.10735848,0.362502566,0.422847762,0.398464033,0.480824276,0.427959678,0.237481147,0.547341611,0.328495868,0.260985117,0.375330141,0.538777826,0.480255335,0.369017503,0.452807158,0.399648528,0.319397445,0.363359247,0.523589202,NA,0.17974245
VL2,0.402583667,0.446482873,0.336917692,0.406065434,0.348736048,0.66700147,1.575117988,0.431730088,0.296291727,0.29171995,0.281253803,0.515723503,0.337188015,0.297882794,0.390709968,0.811380799,0.461083659,0.555513259,0.494086716,0.326095572,0.737692921,0.458513225,0.372735588,0.435292238,0.658560645,0.560692272,0.422544678,0.555933224,0.573742384,0.366278002,0.477772047,0.563180292,0.17974245,NA
