,BIL,BRC,BSL1,BSL3,BSLO,CRHS,CRPR,CT1,CT2,EPHS,FS,GSN,HIB,JGSS,LOB,LW,MC,PG,PT,RL,S100,S110,S8CR,S90,SOC,SPC,T1L,VL1,VL2
FS,87.67867817,76.11014972,69.68470846,78.90919396,76.61252694,20.1730208,53.53271486,21.47665196,20.36462827,16.92345241,0,86.74865984,64.17603436,86.74406279,145.8934761,92.36134763,24.3758407,53.41266284,36.50247445,30.69307208,106.7467154,74.31460683,86.43048562,104.001022,53.63942944,73.35178244,21.70037441,13.84055954,16.56955831
GSN,1.580264089,69.45326735,24.74320696,22.0711401,23.1984195,71.00207344,140.0517109,108.1790953,107.0072127,69.89189727,86.74865984,0,150.6554911,1.381027491,59.18337563,24.14663423,63.31431696,140.0344578,50.86656614,99.06531746,20.09764955,14.63568467,15.6253854,17.45258356,139.9016729,28.33073515,65.2124134,97.20698071,101.3319536
HIB,151.5147689,130.5789575,131.7986031,140.6584699,138.3076303,82.6109143,10.64479133,42.73584554,43.81221906,81.08815329,64.17603436,150.6554911,0,150.5753184,209.6340728,156.1541163,88.43248147,10.93762282,99.8831362,67.31331459,170.7221335,137.680466,148.9358975,167.7391763,20.07133279,134.3010977,85.87477147,56.44643886,52.07511391
JGSS,0.941163086,70.60757916,23.86389621,20.85181517,22.0446046,71.22093795,139.9808813,108.1522445,106.9707794,69.91656869,86.74406279,1.381027491,150.5753184,0,59.15041981,25.522412,63.43862053,139.9795822,50.73048717,99.47319238,20.31175723,14.00001468,14.25182147,17.29351953,139.9832102,27.22848714,65.26034238,97.33735753,101.4415334
LOB,58.2168655,114.5299438,79.13841674,71.40469432,73.67681913,129.9756661,199.0599558,167.2904667,166.1015394,129.0631174,145.8934761,59.18337563,209.6340728,59.15041981,0,62.69794774,122.4684277,199.0840482,109.7515124,157.021116,39.45981481,72.02856441,62.16681896,41.90636549,199.0778395,78.6660475,124.3937733,156.3407246,160.4896046
LW,25.35327264,52.82852247,45.31906731,45.36937799,46.01348348,73.61476816,145.5363514,113.5244639,112.539224,75.7847758,92.36134763,24.14663423,156.1541163,25.522412,62.69794774,0,67.99671667,145.253079,60.52304399,97.10896561,27.98643433,34.67529788,39.77157875,30.70066791,142.8125632,50.57388142,71.00685432,100.2124651,104.5683897
MC,64.35842625,58.30582598,49.17648989,58.49263705,56.34570778,9.016499314,77.78939785,45.69934914,44.65564893,8.108083131,24.3758407,63.31431696,88.43248147,63.43862053,122.4684277,67.99671667,0,77.60157359,16.51279252,39.54705071,83.10403117,51.89668228,64.90908677,80.72785122,76.6238441,54.11609823,4.019128172,33.89877372,38.02134993
PG,140.9178137,120.0009715,121.5662568,130.5109609,128.1649535,71.68925074,1.619028654,31.93969895,33.05901431,70.33571153,53.41266284,140.0344578,10.93762282,139.9795822,199.0840482,145.253079,77.60157359,0,89.34982835,56.97887964,160.0798438,127.2027064,138.6571618,157.1789096,13.82588243,124.2778426,75.11025025,45.51419238,41.14512901
PT,51.6712651,64.68115924,33.49177847,42.80910161,40.57436549,25.52451099,89.31017191,57.66943726,56.4450943,20.32894766,36.50247445,50.86656614,99.8831362,50.73048717,109.7515124,60.52304399,16.51279252,89.34982835,0,56.03460412,70.96355308,37.88364817,49.97803071,67.85698841,90.13179195,37.92295662,16.35149743,48.41428754,52.17638519
RL,100.3331077,63.5123489,88.30866764,97.54533899,95.48250706,30.53430085,57.93328547,34.12056822,34.34546081,37.55428017,30.69307208,99.06531746,67.31331459,99.47319238,157.021116,97.10896561,39.54705071,56.97887964,56.03460412,0,117.7364007,89.64834472,103.2203068,116.376081,49.55295457,93.55182997,40.13421505,20.2332589,22.16510441
S100,19.37339129,80.49196528,42.92421949,37.26665485,39.15989326,90.52471833,160.1115862,128.1987142,127.0379233,89.85815712,106.7467154,20.09764955,170.7221335,20.31175723,39.45981481,27.98643433,83.10403117,160.0798438,70.96355308,117.7364007,0,34.06203725,28.03244477,5.802483406,159.7277565,44.56167289,85.14659944,116.9406693,121.1131359
S110,14.89607125,70.02914276,10.7409442,12.63382275,12.31236352,60.22261117,127.1355103,95.55226048,94.32862847,57.72821733,74.31460683,14.63568467,137.680466,14.00001468,72.02856441,34.67529788,51.89668228,127.2027064,37.88364817,89.64834472,34.06203725,0,13.87817601,30.2896513,127.865981,16.09561013,53.23871607,85.60483511,89.57222545
S8CR,14.48903017,82.14331852,17.19473418,9.453369213,11.60276125,73.46333024,138.4937899,107.3539893,106.085018,70.21265816,86.43048562,15.6253854,148.9358975,14.25182147,62.16681896,39.77157875,64.90908677,138.6571618,49.97803071,103.2203068,28.03244477,13.87817601,0,22.77016452,140.0684872,16.85200937,65.90692578,98.27187955,102.1167162
S90,16.37023661,82.25287258,38.41692489,32.14593809,34.1441663,88.45446169,157.1595079,125.3868546,124.1960412,87.1940443,104.001022,17.45258356,167.7391763,17.29351953,41.90636549,30.70066791,80.72785122,157.1789096,67.85698841,116.376081,5.802483406,30.2896513,22.77016452,0,157.2756487,39.5117571,82.54747719,114.6260053,118.7342592
SOC,140.9095959,113.0439362,123.2703199,132.4498705,130.1372074,69.55210176,15.44278938,33.21233072,34.57213199,70.15838468,53.63942944,139.9016729,20.07133279,139.9832102,199.0778395,142.8125632,76.6238441,13.82588243,90.13179195,49.55295457,159.7277565,127.865981,140.0684872,157.2756487,0,126.6751806,74.74426354,42.87119126,38.6324872
SPC,27.89563823,83.5752051,6.990342865,7.398662258,5.408267776,63.07316826,124.0080421,93.5884469,92.26952367,58.08881494,73.35178244,28.33073515,134.3010977,27.22848714,78.6660475,50.57388142,54.11609823,124.2778426,37.92295662,93.55182997,44.56167289,16.09561013,16.85200937,39.5117571,126.6751806,0,54.27398434,86.02163866,89.58296128
T1L,66.18975427,62.3036588,49.73134485,59.06231329,56.85386792,10.30826684,75.23212252,43.17102869,42.06475785,4.804721249,21.70037441,65.2124134,85.87477147,65.26034238,124.3937733,71.00685432,4.019128172,75.11025025,16.35149743,40.13421505,85.14659944,53.23871607,65.90692578,82.54747719,74.74426354,54.27398434,0,32.38948996,36.33408817
VL1,98.2569287,76.45185443,81.90190972,91.20999047,88.95869635,26.70739647,46.00354078,15.97586374,15.69771016,28.0894401,13.84055954,97.20698071,56.44643886,97.33735753,156.3407246,100.2124651,33.89877372,45.51419238,48.41428754,20.2332589,116.9406693,85.60483511,98.27187955,114.6260053,42.87119126,86.02163866,32.38948996,0,4.379938427
VL2,102.3640604,80.43837258,85.62491585,94.91216539,92.64399239,31.02326934,41.64813734,12.37208587,12.35782939,31.90716801,16.56955831,101.3319536,52.07511391,101.4415334,160.4896046,104.5683897,38.02134993,41.14512901,52.17638519,22.16510441,121.1131359,89.57222545,102.1167162,118.7342592,38.6324872,89.58296128,36.33408817,4.379938427,0
